function,case_id,comparison
create_gazepoint_model_card,minimal,contract_semantic
create_gazepoint_model_card,dataframe_evaluation,contract_semantic
create_gazepoint_model_card,invalid_model,error_contract
write_gazepoint_model_card,markdown_success,contract_semantic
write_gazepoint_model_card,json_success,contract_semantic
write_gazepoint_model_card,overwrite_rejected,error_contract
write_gazepoint_model_card,invalid_card,error_contract
write_gazepoint_model_card,invalid_format,error_contract
create_gazepoint_release_model_card,minimal,contract_semantic
create_gazepoint_release_model_card,dataframe_evaluation,contract_semantic
create_gazepoint_release_model_card,missing_limitations,error_contract
create_gazepoint_release_model_card,blank_limitations,error_contract
create_gazepoint_release_model_card,invalid_model,error_contract
create_gazepoint_release_model_card,invalid_selection,error_contract
create_gazepoint_release_model_card,invalid_uncertainty,error_contract
create_gazepoint_release_model_card,invalid_transportability,error_contract
write_gazepoint_release_model_card,markdown_success,contract_semantic
write_gazepoint_release_model_card,json_success,contract_semantic
write_gazepoint_release_model_card,overwrite_rejected,error_contract
write_gazepoint_release_model_card,invalid_card,error_contract
write_gazepoint_release_model_card,invalid_format,error_contract
create_gazepoint_release_evidence,empty_defaults,contract_semantic
create_gazepoint_release_evidence,objects_and_file,contract_semantic
create_gazepoint_release_evidence,missing_file,error_contract
create_gazepoint_release_evidence,unnamed_files,error_contract
create_gazepoint_reproducibility_report,empty_defaults,contract_semantic
create_gazepoint_reproducibility_report,populated,contract_semantic
write_gazepoint_reproducibility_report,markdown_success,contract_semantic
write_gazepoint_reproducibility_report,overwrite_rejected,error_contract
write_gazepoint_reproducibility_report,invalid_report,error_contract
fit_gazepoint_deep_model,backend_missing,error_contract
fit_gazepoint_deep_model,backend_precedes_validation,error_contract
create_gazepoint_release_evidence,custom_version_notes,contract_semantic
