function,case_id,comparison
declare_gazepoint_task,task_classification_safe,exact normalized governed task
declare_gazepoint_task,task_regression_safe,exact normalized governed task
declare_gazepoint_task,task_prohibited_purpose,exact error message
declare_gazepoint_task,task_unobserved_outcome,exact error message
declare_gazepoint_task,task_missing_participant,exact error message
declare_gazepoint_task,task_unknown_positive,exact error message
assert_gp3ml_use_case,assert_safe,exact success contract
assert_gp3ml_use_case,assert_invalid_object,exact error message
assert_gp3ml_use_case,assert_sensitive,exact error message
assert_gp3ml_use_case,assert_unobserved,exact error message
assert_gp3ml_use_case,assert_crossed_missing_stimulus,exact error message
validate_gazepoint_ml_roles,roles_without_manifest,exact normalized validation tables
validate_gazepoint_ml_roles,roles_safe_manifest,exact normalized validation tables
validate_gazepoint_ml_roles,roles_predictor_failures,exact normalized validation tables
create_gazepoint_feature_manifest,manifest_clean,exact normalized manifest
create_gazepoint_feature_manifest,manifest_default_review,exact normalized manifest
create_gazepoint_feature_manifest,manifest_outcome_derived_fail,exact normalized manifest
create_gazepoint_feature_manifest,manifest_post_outcome_fail,exact normalized manifest
create_gazepoint_feature_manifest,manifest_fold_scope_fail,exact normalized manifest
create_gazepoint_feature_manifest,manifest_duplicate_error,exact error message
create_gazepoint_feature_manifest,manifest_invalid_stage_error,exact error message
create_gazepoint_feature_manifest,manifest_invalid_scope_error,exact error message
validate_gazepoint_feature_manifest,manifest_clean,exact normalized validation tables
validate_gazepoint_feature_manifest,manifest_default_review,exact normalized validation tables
validate_gazepoint_feature_manifest,manifest_outcome_derived_fail,exact normalized validation tables
validate_gazepoint_feature_manifest,manifest_post_outcome_fail,exact normalized validation tables
validate_gazepoint_feature_manifest,manifest_fold_scope_fail,exact normalized validation tables
validate_gazepoint_feature_manifest,manifest_missing_columns_error,exact error message
