function,case_id,comparison
split_gazepoint_ml_data,split_new_trials,target-aware deterministic invariants plus exact validation tables
split_gazepoint_ml_data,split_new_participants,target-aware deterministic invariants plus exact validation tables
split_gazepoint_ml_data,split_new_stimuli,target-aware deterministic invariants plus exact validation tables
split_gazepoint_ml_data,split_crossed,target-aware deterministic invariants plus exact validation tables
split_gazepoint_ml_data,split_missing_manifest,exact error message
split_gazepoint_ml_data,split_review_manifest,exact error message
split_gazepoint_ml_data,split_missing_participant,exact error message
split_gazepoint_ml_data,split_missing_stimulus,exact error message
split_gazepoint_ml_data,split_bad_assessment_prop,exact error message
split_gazepoint_ml_data,split_outcome_predictor,exact error message
split_gazepoint_ml_data,split_identifier_predictor,exact error message
split_gazepoint_ml_data,split_reserved_source_row,exact error message
split_gazepoint_ml_data,split_predictor_missing_manifest,exact error message
split_gazepoint_ml_data,split_too_few_trials,exact error message
validate_gazepoint_ml_split,validate_clean,exact normalized validation tables
validate_gazepoint_ml_split,validate_source_overlap,exact normalized corrupted-object validation
validate_gazepoint_ml_split,validate_invalid_object,exact error message
validate_gazepoint_ml_split,validate_missing_component,exact error message
write_gazepoint_ml_split_csv,split_writer_summary,normalized deterministic CSV summary
write_gazepoint_ml_split_csv,split_writer_checks,normalized deterministic CSV checks
write_gazepoint_ml_split_csv,split_writer_bad_prefix,exact error message
write_gazepoint_ml_split_csv,split_writer_bad_table,exact error message
write_gazepoint_ml_split_csv,split_writer_overwrite,normalized overwrite-protection error
