function,case_id,comparison
fit_gazepoint_preprocessor,fit_median_mixed,numeric_semantics
fit_gazepoint_preprocessor,fit_mean_no_center_scale,numeric_semantics
fit_gazepoint_preprocessor,fit_all_missing_numeric,structural_semantics
fit_gazepoint_preprocessor,fit_boolean_predictor,logical_factor_semantics
fit_gazepoint_preprocessor,fit_keep_zero_variance,numeric_semantics
fit_gazepoint_preprocessor,fit_missing_predictor_error,exact_error
fit_gazepoint_preprocessor,fit_too_few_rows_error,error_rejection
fit_gazepoint_preprocessor,fit_invalid_numeric_imputation,error_rejection
fit_gazepoint_preprocessor,fit_invalid_novel_level,error_rejection
bake_gazepoint_preprocessor,bake_training_roundtrip,numeric_semantics
bake_gazepoint_preprocessor,bake_missing_and_novel,numeric_semantics
bake_gazepoint_preprocessor,bake_novel_to_other,numeric_semantics
bake_gazepoint_preprocessor,bake_missing_trained_level,numeric_semantics
bake_gazepoint_preprocessor,bake_novel_error,exact_error
bake_gazepoint_preprocessor,bake_missing_predictor_error,exact_error
bake_gazepoint_preprocessor,bake_invalid_preprocessor_error,exact_error
