function,case_id,comparison
write_gazepoint_feature_manifest_csv,manifest_success,artifact_semantics
write_gazepoint_feature_manifest_csv,validation_checks_success,artifact_semantics
write_gazepoint_feature_manifest_csv,validation_issues_success,artifact_semantics
write_gazepoint_feature_manifest_csv,overwrite_refusal,error_rejection
write_gazepoint_feature_manifest_csv,invalid_extension,error_rejection
write_gazepoint_feature_manifest_csv,plain_checks_rejection,error_rejection
collect_gazepoint_fold_predictions,clean_predictions,exact_semantics
collect_gazepoint_fold_predictions,failed_include,exact_semantics
collect_gazepoint_fold_predictions,failed_exclude,exact_semantics
collect_gazepoint_fold_predictions,invalid_object,error_rejection
summarize_gazepoint_resample_performance,fold_distribution,exact_semantics
summarize_gazepoint_resample_performance,pooled_rows,exact_semantics
summarize_gazepoint_resample_performance,no_predictions,error_rejection
summarize_gazepoint_resample_performance,invalid_aggregation,error_rejection
summarize_gazepoint_resample_performance,invalid_object,error_rejection
validate_gazepoint_resample_evaluation,clean_validation,exact_semantics
validate_gazepoint_resample_evaluation,failed_validation,exact_semantics
validate_gazepoint_resample_evaluation,bad_stage_validation,exact_semantics
validate_gazepoint_resample_evaluation,incomplete_status_validation,exact_semantics
validate_gazepoint_resample_evaluation,target_mismatch_validation,exact_semantics
validate_gazepoint_resample_evaluation,invalid_object,error_rejection
write_gazepoint_resample_evaluation,clean_write,artifact_semantics
write_gazepoint_resample_evaluation,overwrite_refusal,error_rejection
write_gazepoint_resample_evaluation,invalid_object,error_rejection
