function,case_id,comparison
integrate_black_box_model,safe_constructor,exact_semantic
integrate_black_box_model,invalid_functions,error_contract
integrate_black_box_model,missing_safety,error_contract
fit_gazepoint_model,classification_glm,numerical_semantic
fit_gazepoint_model,regression_glm_maps_lm,numerical_semantic
fit_gazepoint_model,custom_engine,numerical_semantic
fit_gazepoint_model,classification_lm_rejected,error_contract
fit_gazepoint_model,forbidden_predictor,error_contract
fit_gazepoint_model,missing_outcome,error_contract
fit_gazepoint_model,unknown_engine,error_contract
train_gazepoint_classifier,wrapper_success,numerical_semantic
train_gazepoint_classifier,regression_rejected,error_contract
evaluate_gazepoint_group_folds,successful_glm,contract_semantic
evaluate_gazepoint_group_folds,keep_models,contract_semantic
evaluate_gazepoint_group_folds,retain_fold_failures,contract_semantic
evaluate_gazepoint_group_folds,invalid_folds,error_contract
evaluate_gazepoint_group_folds,undeclared_predictor,error_contract
evaluate_gazepoint_group_folds,target_mismatch,error_contract
evaluate_gazepoint_group_folds,stop_on_failure,error_contract
tune_gazepoint_model,successful_candidates,contract_semantic
tune_gazepoint_model,keep_evaluations,contract_semantic
tune_gazepoint_model,retain_candidate_failure,contract_semantic
tune_gazepoint_model,invalid_grid,error_contract
tune_gazepoint_model,stop_on_candidate_failure,error_contract
