function,case_id,comparison
create_gazepoint_tuning_grid,cartesian_grid,exact_semantic
create_gazepoint_tuning_grid,custom_labels,exact_semantic
create_gazepoint_tuning_grid,invalid_threshold,error_contract
create_gazepoint_tuning_grid,metadata_length,error_contract
create_gazepoint_tuning_grid,empty_parameter,error_contract
compare_gazepoint_models,all_candidates,exact_semantic
compare_gazepoint_models,metric_filter,exact_semantic
compare_gazepoint_models,invalid_object,error_contract
select_gazepoint_model,tie_breaker_selection,exact_semantic
select_gazepoint_model,complexity_selection,exact_semantic
select_gazepoint_model,minimum_success_filter,exact_semantic
select_gazepoint_model,accuracy_rejected,error_contract
select_gazepoint_model,invalid_direction,error_contract
select_gazepoint_model,missing_rationale,error_contract
select_gazepoint_model,no_eligible_metric,error_contract
select_gazepoint_model,unresolved_tie,error_contract
validate_gazepoint_model_tuning,clean_validation,exact_semantic
validate_gazepoint_model_tuning,selection_review,exact_semantic
validate_gazepoint_model_tuning,missing_result,exact_semantic
validate_gazepoint_model_tuning,incomplete_comparison,exact_semantic
validate_gazepoint_model_tuning,target_mismatch,exact_semantic
validate_gazepoint_model_tuning,invalid_object,error_contract
write_gazepoint_model_tuning,write_with_selection,exact_semantic
write_gazepoint_model_tuning,overwrite_refusal,error_contract
write_gazepoint_model_tuning,invalid_selection,error_contract
write_gazepoint_model_tuning,invalid_object,error_contract
